,movie_title_x,tomatometer_rating,audience_rating
401,Ed-Wood,92.0,88.0
402,Edward-Scissorhands,90.0,91.0
403,Eight-Legged-Freaks,48.0,32.0
404,El-Mariachi,93.0,76.0
405,Election,92.0,79.0
406,Elephant-Man,92.0,93.0
407,Elizabeth:-The-Golden-Age,34.0,59.0
408,Elvis,,
409,Enemy-of-the-State,72.0,78.0
410,English-Patient,85.0,83.0
411,Enough,22.0,67.0
412,Entrapment,39.0,50.0
413,Equilibrium,41.0,81.0
414,Erik-the-Viking,47.0,58.0
415,Erin-Brockovich,84.0,81.0
416,Escape-From-L.A.,,
417,Escape-From-New-York,86.0,77.0
418,Eternal-Sunshine-of-the-Spotless-Mind,93.0,94.0
419,Even-Cowgirls-Get-the-Blues,,
420,Event-Horizon,28.0,61.0
421,Evil-Dead,95.0,84.0
422,Evil-Dead,62.0,63.0
423,Evil-Dead-II:-Dead-by-Dawn,,
424,Ex-Machina,92.0,86.0
425,Excalibur,80.0,80.0
426,Executive-Decision,,
427,eXistenZ,74.0,69.0
428,Extract,62.0,38.0
429,Eyes-Wide-Shut,75.0,73.0
430,Fabulous-Baker-Boys,,
431,Face-Off,,
432,Fair-Game,12.0,14.0
433,Fair-Game,79.0,65.0
434,FairyTale:-A-True-Story,,
435,Family-Man,53.0,67.0
436,Fantastic-Four,27.0,45.0
437,Fantastic-Four,9.0,18.0
438,Fantastic-Mr-Fox,,
439,Fargo,94.0,93.0
440,Fast-Times-at-Ridgemont-High,76.0,80.0
441,Fatal-Instinct,18.0,40.0
442,Fault-in-Our-Stars,81.0,85.0
443,Fear-and-Loathing-in-Las-Vegas,49.0,89.0
444,Feast,57.0,59.0
445,Ferris-Bueller's-Day-Off,81.0,92.0
446,Field-of-Dreams,87.0,86.0
447,Fifth-Element,70.0,86.0
448,Fight-Club,79.0,96.0
449,Fighter,90.0,89.0
450,Final-Destination,35.0,68.0
451,Final-Destination,28.0,35.0
452,Final-Destination-2,48.0,58.0
453,Finding-Nemo,99.0,86.0
454,First-Cow,96.0,56.0
455,Five-Easy-Pieces,88.0,84.0
456,Flash-Gordon,83.0,69.0
457,Fletch,77.0,81.0
458,Flight,78.0,75.0
459,Flintstones,22.0,24.0
460,Forrest-Gump,71.0,95.0
461,Four-Feathers,100.0,85.0
462,Four-Feathers,41.0,65.0
463,Four-Rooms,13.0,69.0
464,Foxcatcher,87.0,66.0
465,Fracture,71.0,73.0
466,Frances,66.0,77.0
467,Frankenstein,17.0,47.0
468,Frankenstein,100.0,35.0
469,Frankenweenie,87.0,70.0
470,Freaked,,
471,Freddy-vs.-Jason,41.0,50.0
472,French-Connection,98.0,87.0
473,Frequency,70.0,81.0
474,Friday-the-13th,64.0,61.0
475,Friday-the-13th,26.0,46.0
476,Friday-the-13th-Part-VIII:-Jason-Takes-Manhattan,8.0,27.0
477,Fright-Night,92.0,76.0
478,Fright-Night,72.0,59.0
479,Fright-Night-(1985),,
480,From-Dusk-Till-Dawn,62.0,76.0
481,From-Here-to-Eternity,92.0,84.0
482,Frozen,63.0,46.0
483,Frozen,90.0,85.0
484,Frozen-(Disney),,
485,Frozen-River,88.0,74.0
486,Fruitvale-Station,94.0,87.0
487,Fugitive,86.0,61.0
488,Fugitive,96.0,89.0
489,Full-Metal-Jacket,92.0,94.0
490,Funny-People,69.0,48.0
491,Fury,75.0,49.0
492,Fury,100.0,89.0
493,Fury,76.0,84.0
494,G.I.-Jane,51.0,53.0
495,G.I.-Joe:-The-Rise-of-Cobra,34.0,50.0
496,Game-6,61.0,38.0
497,Game,74.0,84.0
498,Gamer,30.0,39.0
499,Gandhi,85.0,92.0
500,Gang-Related,53.0,65.0
501,Gangs-of-New-York,73.0,81.0
502,Garden-State,86.0,88.0
503,Gattaca,82.0,87.0
504,Get-Carter,84.0,85.0
505,Get-Carter,11.0,28.0
506,Get-Low,85.0,75.0
507,Get-on-Up,80.0,68.0
508,Get-Out,98.0,86.0
509,Get-Shorty,88.0,70.0
510,Getaway,86.0,81.0
511,Getaway,32.0,28.0
512,Getaway,3.0,35.0
513,Ghost,74.0,80.0
514,Ghost-and-the-Darkness,49.0,75.0
515,Ghost-Rider,26.0,48.0
516,Ghost-Ship,16.0,37.0
517,Ghost-World,93.0,84.0
518,Ghostbusters,74.0,50.0
519,Ghostbusters-2,54.0,61.0
520,Ginger-Snaps,89.0,78.0
