Unnamed: 0,IMSDB_Title,RT_Title,CriticScore,AudienceScore,CriticScoreCategory
46,Airplane-2-The-Sequel,Airplane-2:-The-Sequel,42.0,50.0,rotten
47,Aladdin,Aladdin,57.0,94.0,rotten
48,Aladdin,Aladdin,95.0,92.0,certified fresh
49,Ali,Ali,68.0,65.0,fresh
50,Alien,Alien,98.0,94.0,certified fresh
52,Alien-Nation,Alien-Nation,53.0,44.0,rotten
53,Alien-vs.-Predator,Alien-vs.-Predator,21.0,39.0,rotten
54,Alien-Resurrection,Alien:-Resurrection,54.0,39.0,rotten
55,Aliens,Aliens,97.0,94.0,certified fresh
56,All-About-Eve,All-About-Eve,99.0,94.0,certified fresh
57,All-About-Steve,All-About-Steve,6.0,30.0,rotten
58,All-the-King's-Men,All-the-King's-Men,95.0,78.0,certified fresh
59,All-the-King's-Men,All-the-King's-Men,11.0,40.0,rotten
60,All-the-President's-Men,All-the-President's-Men,94.0,92.0,certified fresh
61,Almost-Famous,Almost-Famous,89.0,92.0,certified fresh
62,Alone-in-the-Dark,Alone-in-the-Dark,1.0,11.0,rotten
63,Amadeus,Amadeus,93.0,95.0,certified fresh
64,Amelia,Amelia,20.0,31.0,rotten
65,American-Beauty,American-Beauty,87.0,93.0,certified fresh
66,American-Gangster,American-Gangster,80.0,87.0,certified fresh
67,American-Graffiti,American-Graffiti,96.0,84.0,certified fresh
68,American-History-X,American-History-X,83.0,96.0,certified fresh
69,American-Hustle,American-Hustle,92.0,74.0,certified fresh
72,American-Outlaws,American-Outlaws,14.0,68.0,rotten
73,American-Pie,American-Pie,61.0,61.0,fresh
74,American-President,American-President,91.0,77.0,certified fresh
75,American-Psycho,American-Psycho,69.0,85.0,fresh
77,American-Sniper,American-Sniper,72.0,84.0,fresh
78,American-Splendor,American-Splendor,94.0,86.0,certified fresh
80,American,American,65.0,39.0,fresh
82,Amour,Amour,93.0,82.0,certified fresh
83,An-Education,An-Education,94.0,80.0,certified fresh
84,Analyze-That,Analyze-That,27.0,39.0,rotten
